scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 1,alg3,3.78,246357,248143,245489,245.49,3.75,3.2,7.56,59.23,25.67,7,1,1,0,59.53,987,4,0,0,944
scenario 1,alg3,3.82,245489,247815,245729,245.73,3.78,3.25,7.61,59.26,26.7,8,2,0,0,59.59,986,3,0,1,948
scenario 1,alg3,3.81,245729,247831,245053,245.05,3.75,3.22,7.58,59.11,26.33,8,1,0,0,59.41,987,3,0,1,932
scenario 1,alg3,3.81,245053,247969,245344,245.34,3.74,3.22,7.58,59.23,26.62,6,1,1,0,59.49,987,5,0,0,940
scenario 1,alg3,3.79,245344,247876,244946,244.95,3.73,3.21,7.56,59.12,27.0,6,3,2,0,59.47,987,1,1,0,936
scenario 1,alg3,3.79,244946,247650,245238,245.24,3.75,3.22,7.58,59.14,26.64,5,4,2,0,59.5,988,1,0,0,941
scenario 1,alg3,3.8,245238,247717,245340,245.34,3.75,3.21,7.56,59.21,28.0,6,2,0,0,59.47,986,4,2,0,940
scenario 1,alg3,3.82,245340,247789,245414,245.41,3.77,3.26,7.62,59.37,28.33,2,1,0,0,59.46,989,6,2,0,943
scenario 1,alg3,3.86,245414,247829,245235,245.24,3.79,3.27,7.62,59.26,27.17,4,2,0,0,59.46,988,4,2,0,938
scenario 1,alg3,3.86,245235,247884,245453,245.45,3.8,3.3,7.65,59.22,25.88,5,3,0,0,59.49,988,3,1,0,940
scenario 1,alg3,3.84,245453,248010,245332,245.33,3.77,3.26,7.62,59.19,26.44,6,3,0,0,59.49,986,5,0,0,940
scenario 1,alg3,3.83,245332,247790,245246,245.25,3.72,3.21,7.57,59.22,27.56,5,4,0,0,59.51,986,5,0,0,940
