scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 1,alg1,7.14,250000,250000,250000,250.0,5.66,3.15,7.51,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,8.8,250000,250000,250000,250.0,7.05,3.12,7.48,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 1,alg1,7.42,250000,250000,250000,250.0,5.9,3.11,7.47,60.0,0.0,0,0,0,0,60.0,1000,0,0,0,1000
scenario 2,alg1,4.64,128983,149448,149448,74.72,6.23,3.31,7.68,40.85,26.59,227,249,278,171,53.12,337,259,221,258,165
scenario 2,alg1,4.91,149448,169300,169300,84.65,5.77,3.28,7.64,42.74,26.73,229,237,260,90,53.77,421,262,234,267,255
scenario 2,alg1,6.62,169300,188642,188642,94.32,7.05,3.32,7.69,43.73,26.34,250,226,271,0,54.1,490,254,251,258,337
scenario 2,alg1,6.22,188642,207388,207388,103.69,5.93,3.33,7.68,44.39,26.26,259,221,258,0,55.0,564,249,278,171,421
scenario 2,alg1,6.72,207388,225740,225740,112.87,5.95,3.32,7.68,44.5,26.36,262,234,267,0,55.68,650,237,260,90,490
scenario 2,alg1,7.17,225740,244698,244698,122.35,5.91,3.29,7.65,44.39,26.25,254,251,258,0,55.58,740,226,271,0,564
scenario 2,alg1,7.29,244698,264238,264238,132.12,5.48,3.3,7.66,45.59,26.61,249,278,171,0,55.76,823,221,258,0,650
scenario 2,alg1,8.97,264238,283336,283336,141.67,6.27,3.28,7.64,47.53,26.96,237,260,90,0,56.07,912,234,267,0,740
scenario 2,alg1,9.79,283336,301992,301992,151.0,6.44,3.29,7.64,48.8,26.45,226,271,0,0,56.19,994,251,258,0,823
scenario 2,alg1,10.06,301992,320269,320269,160.13,6.2,3.26,7.61,49.54,26.22,221,258,0,0,56.89,1072,278,171,0,912
scenario 2,alg1,10.5,320269,337726,337726,168.86,6.14,3.25,7.6,49.79,26.36,234,267,0,0,57.62,1149,260,90,0,994
scenario 2,alg1,11.69,337726,355123,355123,177.56,6.49,3.25,7.61,49.64,26.22,251,258,0,0,57.63,1220,271,0,0,1072
scenario 2,alg1,11.32,355123,371847,371847,185.92,6.0,3.28,7.64,50.71,26.68,278,171,0,0,57.67,1293,258,0,0,1149
scenario 2,alg1,13.19,371847,387894,387894,193.95,6.78,3.27,7.63,52.46,27.34,260,90,0,0,57.79,1383,267,0,0,1220
scenario 2,alg1,12.77,387894,404820,404820,202.41,6.16,3.28,7.64,53.53,26.48,271,0,0,0,57.78,1471,258,0,0,1293
scenario 2,alg1,14.59,404820,421179,421179,210.59,6.77,3.27,7.63,54.13,26.06,258,0,0,0,58.29,1571,171,0,0,1383
scenario 2,alg1,15.46,421179,437187,437187,218.59,7.01,3.22,7.58,54.6,26.55,267,0,0,0,58.92,1643,90,0,0,1471
scenario 2,alg1,15.55,437187,452234,452234,226.12,6.77,3.25,7.61,54.7,26.34,258,0,0,0,58.9,1742,0,0,0,1571
scenario 2,alg1,15.66,452234,465071,465071,232.54,6.58,3.26,7.61,56.19,27.37,171,0,0,0,58.89,1829,0,0,0,1643
scenario 2,alg1,17.47,465071,477191,469732,234.87,7.49,3.25,7.61,57.24,29.09,105,1,5,5,58.97,1871,8,3,2,1700
scenario 2,alg1,16.78,469732,480179,480179,240.09,6.89,3.25,7.61,58.52,26.19,18,3,2,4,58.96,1964,2,4,3,1785
scenario 2,alg1,15.55,480179,489427,489427,244.71,6.28,3.27,7.63,59.11,27.36,12,3,3,4,59.46,1971,2,3,2,1871
scenario 2,alg1,17.16,489427,494694,494694,247.35,6.83,3.22,7.58,59.69,27.92,8,3,2,0,59.89,1976,1,5,5,1964
scenario 2,alg1,14.91,494694,495508,455808,227.9,6.23,3.24,7.6,56.86,24.35,5,10,4,149,59.84,1813,10,3,6,1799
scenario 2,alg1,17.11,455808,457153,457153,228.58,7.49,3.21,7.57,57.0,25.08,8,4,4,149,59.87,1815,11,4,5,1806
scenario 2,alg1,15.9,457153,458174,458174,229.09,6.79,3.23,7.59,57.38,29.57,7,6,6,149,59.92,1817,10,4,1,1813
scenario 2,alg1,15.66,458174,459014,459014,229.51,6.73,3.24,7.6,58.73,26.26,10,3,6,0,59.04,1818,10,4,149,1815
scenario 2,alg1,16.94,459014,459835,459835,229.92,7.28,3.24,7.59,58.85,26.4,11,4,5,0,59.18,1823,4,4,149,1817
scenario 2,alg1,15.1,459835,460567,460567,230.28,6.44,3.21,7.56,59.68,26.87,10,4,1,0,59.93,1824,6,6,149,1818
scenario 2,alg1,15.99,460567,461338,455118,227.56,7.02,3.24,7.59,56.68,24.4,18,5,142,13,59.83,1799,13,9,1,1783
scenario 2,alg1,15.64,455118,456957,456957,228.48,6.73,3.23,7.58,56.77,25.11,19,6,141,12,59.86,1806,7,7,2,1790
scenario 2,alg1,15.6,456957,458704,458704,229.35,6.63,3.24,7.59,57.14,29.4,19,9,141,12,59.9,1809,6,3,1,1799
scenario 2,alg1,15.85,458704,460240,460240,230.12,6.75,3.24,7.6,58.63,27.26,13,9,1,0,58.99,1817,5,142,13,1806
scenario 2,alg1,14.56,460240,461590,442860,221.43,6.34,3.24,7.6,57.65,25.12,13,14,7,48,59.04,1738,29,139,12,1719
scenario 2,alg1,15.63,442860,445134,445134,222.57,6.88,3.29,7.65,58.3,25.24,25,11,3,48,59.8,1742,19,140,12,1729
scenario 2,alg1,15.53,445134,447686,447686,223.84,6.79,3.26,7.62,55.97,25.66,27,140,13,48,59.87,1745,18,8,1,1738
scenario 2,alg1,15.87,447686,449505,449505,224.75,6.95,3.28,7.63,56.49,25.46,29,139,12,0,59.56,1751,14,7,48,1742
scenario 2,alg1,15.28,449505,451381,451381,225.69,6.61,3.28,7.64,56.96,29.3,19,140,12,0,59.55,1767,11,3,48,1745
scenario 2,alg1,14.77,451381,454917,454917,227.46,6.36,3.27,7.62,58.57,27.04,18,8,1,0,59.0,1772,140,13,48,1751
scenario 2,alg1,16.0,454917,457335,457335,228.67,6.93,3.23,7.59,57.97,24.94,14,7,48,0,59.15,1780,139,12,0,1767
scenario 2,alg1,15.84,457335,459345,459345,229.67,6.78,3.23,7.59,58.81,25.35,11,3,48,0,59.88,1786,140,12,0,1772
scenario 2,alg1,16.03,459345,463451,463451,231.73,6.82,3.25,7.6,56.47,25.63,140,13,48,0,59.91,1790,8,1,0,1780
scenario 2,alg1,14.42,463451,466695,440774,220.39,6.27,3.22,7.58,55.3,24.76,129,17,2,97,59.56,1687,23,43,2,1675
scenario 2,alg1,16.81,440774,444361,444361,222.18,7.53,3.24,7.59,55.62,27.6,139,13,2,96,59.62,1691,13,43,3,1680
scenario 2,alg1,15.33,444361,447895,447895,223.95,6.66,3.21,7.57,57.26,29.14,21,3,3,96,59.1,1812,21,43,1,1687
scenario 2,alg1,15.57,447895,455177,455177,227.59,6.7,3.22,7.57,57.54,25.32,23,43,2,0,58.67,1816,17,2,97,1691
