net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
9.69,522906,555657,530839,132.71,3.29,7.8,46.36,26.33,265,149,253,636,56.04,1917,151,230,399,1511
9.66,530839,561965,529768,132.44,3.3,7.82,46.77,26.24,216,148,253,623,55.99,1944,141,214,461,1518
9.66,529768,561017,532813,133.2,3.29,7.8,46.86,26.02,185,173,228,657,56.25,1974,126,196,461,1553
9.7,532813,563042,529383,132.35,3.31,7.83,46.49,26.04,154,180,273,699,56.4,1964,128,183,419,1545
9.61,529383,559308,527805,131.95,3.3,7.83,46.38,26.18,143,180,311,700,56.49,1946,141,184,395,1580
9.49,527805,555185,525802,131.45,3.29,7.81,46.69,26.24,134,171,320,652,56.28,1932,161,193,437,1577
9.47,525802,552602,521945,130.49,3.28,7.81,46.91,26.3,146,160,298,651,56.33,1902,172,215,456,1572
9.45,521945,547762,521842,130.46,3.28,7.79,47.01,26.13,152,157,298,630,56.36,1896,166,232,469,1577
9.27,521842,547270,518956,129.74,3.27,7.78,46.73,26.07,169,160,312,639,56.46,1876,161,244,439,1551
9.32,518956,545050,517088,129.27,3.28,7.81,46.46,26.12,180,190,327,624,56.5,1857,153,234,435,1552
9.24,517088,542394,514946,128.74,3.26,7.81,46.24,26.18,177,192,329,648,56.41,1849,157,230,418,1540
9.29,514946,540412,515993,129.0,3.27,7.81,46.7,26.24,154,201,314,613,56.35,1865,165,244,444,1548
9.2,515993,541721,517171,129.29,3.26,7.8,46.79,26.34,156,195,323,593,56.27,1860,185,258,430,1538
9.35,517171,543287,515779,128.94,3.29,7.82,46.99,26.12,162,184,311,571,56.23,1848,192,264,468,1544
9.26,515779,541121,514219,128.55,3.27,7.8,46.62,26.06,172,193,319,604,56.39,1842,189,245,436,1537
9.31,514219,539886,514436,128.61,3.27,7.81,46.47,26.12,193,203,308,619,56.53,1829,186,258,404,1532
9.33,514436,539956,514556,128.64,3.29,7.82,46.18,26.27,209,222,326,602,56.42,1821,177,250,393,1523
9.4,514556,540525,516827,129.21,3.32,7.84,46.52,26.13,203,217,316,555,56.24,1833,191,253,432,1533
9.36,516827,542856,516586,129.15,3.3,7.82,46.57,26.36,198,213,313,575,56.29,1842,193,241,425,1506
9.32,516586,544276,513450,128.36,3.3,7.84,46.57,26.05,196,212,291,580,56.21,1829,208,256,428,1492
9.35,513450,541054,516077,129.02,3.28,7.82,46.35,26.16,199,220,323,574,56.25,1834,201,254,395,1504
9.34,516077,543615,513263,128.32,3.3,7.84,46.52,26.26,190,204,320,594,56.36,1837,195,254,406,1495
9.29,513263,541467,512050,128.01,3.3,7.82,46.07,26.09,213,204,313,617,56.21,1828,187,232,406,1472
9.3,512050,540712,510400,127.6,3.31,7.83,46.01,25.95,193,199,300,658,56.23,1827,185,255,383,1485
