net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
8.91,527637,559042,538914,134.73,3.03,3.27,7.63,47.64,25.94,191,300,229,416,56.25,1914,249,338,363,1567
9.38,538914,567115,536340,134.09,3.18,3.28,7.64,47.15,26.64,188,305,281,493,56.66,1899,233,353,248,1567
10.09,536340,564532,509842,127.46,3.72,3.28,7.64,45.84,25.61,173,310,280,540,55.61,1838,296,232,331,1320
9.29,509842,548343,527670,131.92,3.19,3.26,7.61,45.94,26.12,244,290,291,552,56.34,1849,256,195,323,1529
9.96,527670,555473,510355,127.59,3.63,3.26,7.62,45.8,26.36,226,265,179,706,55.99,1822,271,210,321,1324
9.93,510355,547844,525467,131.37,3.41,3.28,7.64,46.25,26.07,289,216,254,546,56.02,1810,275,219,391,1517
9.9,525467,553271,497846,124.46,3.65,3.26,7.62,45.46,26.25,256,160,225,730,55.48,1843,223,198,365,1320
9.51,497846,535380,503454,125.86,3.45,3.27,7.63,45.87,26.04,256,171,237,628,55.34,1821,233,158,496,1209
9.26,503454,545845,526376,131.59,3.19,3.26,7.62,46.62,26.49,234,180,295,594,56.35,1870,205,208,414,1572
9.98,526376,552228,507928,126.98,3.62,3.29,7.64,46.43,26.06,209,174,277,594,55.73,1867,165,182,532,1333
9.66,507928,545283,513732,128.43,3.34,3.27,7.63,45.92,25.91,225,147,387,580,56.0,1852,154,189,466,1449
9.74,513732,544530,513178,128.29,3.44,3.28,7.64,46.24,26.44,198,180,312,667,56.4,1853,153,227,410,1490
9.15,513178,541115,525552,131.39,3.2,3.28,7.63,47.37,26.63,168,172,428,442,56.36,1886,166,235,503,1598
9.49,525552,549974,524931,131.23,3.32,3.29,7.63,47.51,26.39,168,179,399,396,55.94,1897,142,337,482,1553
9.29,524931,552374,527803,131.95,3.21,3.25,7.6,48.38,26.21,159,213,377,316,56.43,1886,183,289,577,1603
10.27,527803,551693,519247,129.81,3.46,3.28,7.63,46.9,26.06,180,216,427,417,56.26,1855,183,361,361,1463
9.57,519247,549505,491186,122.8,3.64,3.27,7.62,45.04,25.49,155,264,348,657,55.85,1827,171,307,271,1348
8.96,491186,525835,511159,127.79,3.18,3.27,7.62,45.25,26.28,194,233,410,618,56.1,1838,180,291,236,1384
9.51,511159,544826,507785,126.95,3.39,3.29,7.64,45.89,26.86,180,282,266,667,56.08,1809,183,314,299,1436
9.01,507785,537548,520490,130.12,3.19,3.28,7.63,47.81,26.18,182,277,239,370,55.69,1807,257,319,549,1569
9.51,520490,543797,508516,127.13,3.4,3.28,7.63,47.44,26.49,177,258,209,508,55.92,1815,213,339,481,1425
9.36,508516,539102,496092,124.02,3.46,3.28,7.63,46.79,25.59,179,279,241,528,56.18,1780,249,228,516,1365
8.71,496092,528448,504973,126.24,3.15,3.26,7.61,44.93,25.9,229,267,422,574,56.25,1760,242,207,299,1419
8.92,504973,533634,513540,128.38,3.18,3.25,7.6,46.4,26.75,201,303,407,467,56.74,1790,240,184,408,1512
8.88,513540,539970,515086,128.77,3.16,3.24,7.59,46.5,26.65,244,215,467,351,55.81,1785,252,238,448,1482
9.42,515086,543062,498700,124.67,3.49,3.23,7.58,46.47,25.68,238,180,250,529,55.34,1794,237,351,421,1371
9.15,498700,531110,503196,125.8,3.33,3.23,7.58,46.18,26.15,238,165,300,602,55.88,1782,253,328,332,1287
8.72,503196,540145,520201,130.05,3.09,3.24,7.6,46.58,26.37,233,201,328,583,56.82,1830,199,375,251,1537
8.35,520201,547184,532565,133.14,2.94,3.25,7.6,46.58,26.3,240,324,356,368,56.22,1871,178,232,431,1587
9.68,532565,558483,518218,129.55,3.45,3.25,7.6,46.29,26.26,249,297,286,447,55.71,1838,158,257,468,1409
9.69,518218,551192,509630,127.41,3.54,3.25,7.6,46.16,25.96,205,287,187,612,55.79,1841,187,264,417,1348
9.1,509630,545635,527133,131.78,3.18,3.26,7.61,46.77,26.36,175,182,320,618,56.54,1876,284,282,263,1562
9.0,527133,553476,533189,133.3,3.12,3.26,7.61,47.4,26.69,164,218,375,453,56.39,1898,277,246,369,1587
9.87,533189,560137,519660,129.91,3.54,3.25,7.6,46.63,25.79,191,231,309,480,55.68,1864,270,182,473,1419
9.68,519660,553779,529745,132.44,3.3,3.29,7.64,46.95,25.94,264,248,217,527,56.57,1857,180,250,457,1584
9.6,529745,554848,511462,127.87,3.47,3.26,7.61,46.0,26.36,258,208,251,675,56.49,1829,189,266,324,1444
9.82,511462,542913,483198,120.8,3.8,3.29,7.64,44.26,25.65,259,164,303,728,54.88,1807,193,224,322,1180
9.44,483198,525796,470259,117.56,3.73,3.26,7.61,43.5,25.89,188,187,276,898,54.63,1818,195,151,287,1074
9.38,470259,517378,485865,121.47,3.5,3.28,7.63,44.68,26.47,186,205,213,866,55.27,1811,177,168,374,1155
9.2,485865,529173,480488,120.12,3.56,3.3,7.65,44.77,26.15,186,164,216,860,55.09,1802,139,205,428,1284
9.23,480488,516148,493951,123.49,3.34,3.3,7.65,46.32,26.16,188,138,211,709,55.45,1798,157,201,598,1340
9.12,493951,526668,484795,121.2,3.46,3.3,7.65,46.16,26.48,178,141,262,751,55.99,1772,170,156,570,1386
9.3,484795,513642,499276,124.82,3.4,3.27,7.62,47.02,26.03,155,178,351,509,55.94,1807,167,178,655,1442
