city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps,weak_4k,weak_8k,weak_12k,weak_24k,strong_4k,strong_8k,strong_12k,strong_24k,full_24k
bern,0.15,flatwise,7.92,3027.31,10.0,3.03,7.78,2.87,4.91,0,0.12,154.05,0,0,13,676,4,3,39,265,92
bern,0.15,flatwise,9.24,3336.84,9.85,3.34,6.97,2.76,4.21,0,0.12,167.24,0,3,9,123,1,2,24,838,102
bern,0.15,flatwise,7.92,2737.61,10.21,2.74,8.54,3.06,5.48,15,0.18,140.9,1,1,20,777,3,4,69,125,26
bern,0.15,flatwise,3.96,2463.41,10.22,2.46,9.07,3.13,5.94,13,0.18,129.65,1,3,25,714,3,10,115,129,3
bern,0.15,flatwise,6.6,2797.18,10.12,2.8,8.38,3.02,5.36,0,0.12,143.5,1,1,19,697,3,5,64,210,14
bern,0.15,flatwise,5.28,3129.87,9.62,3.13,7.5,2.49,5.01,0,0.1,158.52,0,0,15,520,4,3,38,420,129
bern,0.15,flatwise,9.24,3414.99,10.09,3.41,6.73,2.93,3.8,5,0.13,170.67,0,3,10,124,1,3,26,833,198
bern,0.15,flatwise,6.6,3684.02,9.86,3.68,6.0,2.79,3.21,4,0.11,181.74,0,3,5,74,1,1,20,896,400
bern,0.15,flatwise,2.64,2770.11,10.21,2.77,8.39,3.05,5.34,15,0.16,142.88,0,2,20,742,4,4,78,150,127
bern,0.15,flatwise,7.92,3062.25,9.99,3.06,7.61,2.87,4.74,0,0.11,155.88,0,2,13,500,3,3,54,425,141
bern,0.15,flatwise,2.64,3357.19,9.84,3.36,6.89,2.79,4.1,0,0.11,167.66,0,3,9,236,1,2,29,720,150
bern,0.15,flatwise,10.56,3373.3,10.04,3.37,6.85,2.99,3.86,10,0.16,167.9,0,3,7,213,1,2,28,746,101
bern,0.15,flatwise,3.96,3283.7,9.83,3.28,7.02,2.75,4.27,6,0.12,165.02,0,2,9,296,2,3,41,647,187
bern,0.15,flatwise,5.28,3552.66,9.92,3.55,6.31,2.8,3.51,4,0.12,176.48,0,2,4,156,1,3,28,806,351
bern,0.15,flatwise,5.28,3615.16,9.94,3.62,6.18,2.85,3.33,10,0.12,178.95,0,1,4,123,1,3,21,847,380
bern,0.15,flatwise,7.92,3622.26,10.08,3.62,6.18,2.93,3.25,12,0.13,178.71,0,1,3,112,1,3,16,864,314
bern,0.15,flatwise,5.28,2244.18,9.95,2.24,6.79,2.84,3.95,20,0.19,127.96,1,1,45,112,3,11,655,172,117
bern,0.15,flatwise,2.64,2520.13,10.03,2.52,8.73,2.95,5.78,2,0.1,132.58,0,3,33,619,2,4,159,180,157
bern,0.15,flatwise,7.92,2800.55,10.04,2.8,8.24,2.94,5.3,0,0.1,144.05,0,4,17,700,1,1,91,186,172
bern,0.15,flatwise,7.92,3078.23,10.14,3.08,7.62,3.01,4.61,0,0.12,156.17,0,3,11,656,1,1,45,283,180
bern,0.15,flatwise,7.92,3352.67,9.9,3.35,6.86,2.84,4.02,1,0.12,168.2,0,2,4,165,0,3,33,793,184
bern,0.15,flatwise,7.92,3615.35,10.06,3.62,6.18,3.02,3.16,10,0.14,178.12,0,1,2,99,0,4,19,875,263
bern,0.15,flatwise,5.28,3552.81,10.08,3.55,6.34,2.94,3.4,19,0.14,174.95,0,1,3,97,0,4,26,869,141
bern,0.15,flatwise,0.0,404.22,10.19,0.4,27.49,3.06,24.43,64,0.34,45.72,894,0,4,7,0,0,1,94,32
bern,0.15,flatwise,0.0,436.57,10.0,0.44,23.84,2.9,20.94,0,0.08,57.8,894,0,3,5,0,0,1,97,89
